,Solar,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,0.0,113.0,4948.0
2021-08-24 00:15:00+02:00,0.0,111.0,4901.0
2021-08-24 00:30:00+02:00,0.0,109.0,4854.0
2021-08-24 00:45:00+02:00,0.0,107.0,4806.0
2021-08-24 01:00:00+02:00,0.0,106.0,4759.0
2021-08-24 01:15:00+02:00,0.0,104.0,4713.0
2021-08-24 01:30:00+02:00,0.0,103.0,4666.0
2021-08-24 01:45:00+02:00,0.0,103.0,4605.0
2021-08-24 02:00:00+02:00,0.0,102.0,4547.0
2021-08-24 02:15:00+02:00,0.0,104.0,4509.0
2021-08-24 02:30:00+02:00,0.0,106.0,4486.0
2021-08-24 02:45:00+02:00,0.0,109.0,4468.0
2021-08-24 03:00:00+02:00,0.0,112.0,4454.0
2021-08-24 03:15:00+02:00,0.0,117.0,4441.0
2021-08-24 03:30:00+02:00,0.0,122.0,4423.0
2021-08-24 03:45:00+02:00,0.0,128.0,4405.0
2021-08-24 04:00:00+02:00,0.0,133.0,4386.0
2021-08-24 04:15:00+02:00,0.0,138.0,4366.0
2021-08-24 04:30:00+02:00,0.0,144.0,4344.0
2021-08-24 04:45:00+02:00,0.0,147.0,4327.0
2021-08-24 05:00:00+02:00,0.0,151.0,4312.0
2021-08-24 05:15:00+02:00,0.0,150.0,4299.0
2021-08-24 05:30:00+02:00,0.0,148.0,4286.0
2021-08-24 05:45:00+02:00,0.0,147.0,4272.0
2021-08-24 06:00:00+02:00,9.0,143.0,4262.0
2021-08-24 06:15:00+02:00,122.0,141.0,4209.0
2021-08-24 06:30:00+02:00,219.0,140.0,4134.0
2021-08-24 06:45:00+02:00,355.0,139.0,4053.0
2021-08-24 07:00:00+02:00,557.0,138.0,3952.0
2021-08-24 07:15:00+02:00,817.0,139.0,3819.0
2021-08-24 07:30:00+02:00,1117.0,140.0,3611.0
2021-08-24 07:45:00+02:00,1454.0,141.0,3406.0
2021-08-24 08:00:00+02:00,1821.0,140.0,3046.0
2021-08-24 08:15:00+02:00,2248.0,136.0,2818.0
2021-08-24 08:30:00+02:00,2663.0,131.0,2696.0
2021-08-24 08:45:00+02:00,3099.0,125.0,2592.0
2021-08-24 09:00:00+02:00,3516.0,120.0,2567.0
2021-08-24 09:15:00+02:00,3906.0,114.0,2575.0
2021-08-24 09:30:00+02:00,4285.0,107.0,2634.0
2021-08-24 09:45:00+02:00,4652.0,102.0,2697.0
2021-08-24 10:00:00+02:00,4981.0,96.0,2745.0
2021-08-24 10:15:00+02:00,5275.0,91.0,2765.0
2021-08-24 10:30:00+02:00,5532.0,87.0,2785.0
2021-08-24 10:45:00+02:00,5766.0,82.0,2778.0
2021-08-24 11:00:00+02:00,5987.0,78.0,2766.0
2021-08-24 11:15:00+02:00,6153.0,71.0,2743.0
2021-08-24 11:30:00+02:00,6313.0,66.0,2718.0
2021-08-24 11:45:00+02:00,6469.0,61.0,2703.0
