,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,361.85714285714283,6190.5,152.96428571428572,317.14285714285717,295.82142857142856,0.0,-105.0,42.357142857142854,10.178571428571429,4.714285714285714,0.0,395.32142857142856,110.0,4877.25
2021-08-24 01:00:00+02:00,361.3125,5863.625,145.75,316.6875,299.0625,0.0,-422.0625,42.0625,7.75,3.5,0.0,365.6875,104.0,4685.75
2021-08-24 02:00:00+02:00,361.375,5805.6875,144.3125,241.8125,299.625,0.0,-423.3125,42.25,7.8125,3.5625,0.0,357.6875,105.25,4502.5
2021-08-24 03:00:00+02:00,361.6875,5798.875,145.9375,246.9375,299.4375,0.0,-493.5,42.3125,8.4375,3.9375,0.0,359.6875,119.75,4430.75
2021-08-24 04:00:00+02:00,358.5625,5885.75,166.8125,263.1875,299.4375,0.0,-458.625,42.0,16.1875,7.3125,0.0,364.5,140.5,4355.75
2021-08-24 05:00:00+02:00,360.875,5937.0,168.75,330.125,298.75,0.0,-295.0,42.375,16.4375,7.25,0.0,364.0,149.0,4292.25
2021-08-24 06:00:00+02:00,360.75,6211.8125,168.9375,386.75,298.3125,0.0,65.375,42.0,16.5,7.25,176.25,366.25,140.75,4164.5
2021-08-24 07:00:00+02:00,361.9375,6349.1875,169.0625,402.5625,298.4375,0.0,1107.25,42.25,16.25,7.25,986.25,366.0,139.5,3697.0
2021-08-24 08:00:00+02:00,361.375,6336.125,169.4375,395.375,298.125,0.0,1321.4375,42.1875,16.375,7.625,2457.75,365.25,133.0,2788.0
2021-08-24 09:00:00+02:00,359.0625,6410.9375,173.5625,406.1875,298.0,0.0,789.5625,42.0,16.125,7.75,4089.75,329.5,110.75,2618.25
2021-08-24 10:00:00+02:00,359.5625,6366.6875,176.75,393.8125,296.8125,0.0,332.5625,42.1875,16.25,7.6875,5388.5,325.8125,89.0,2768.25
2021-08-24 11:00:00+02:00,361.6875,6328.8125,177.4375,399.4375,296.75,0.0,47.625,42.25,16.0625,7.75,6230.5,314.0,69.0,2732.5
2021-08-24 12:00:00+02:00,357.5,6244.875,170.375,382.0625,296.375,0.0,-162.875,41.875,16.25,7.6875,6758.5,316.6875,50.75,2652.5
2021-08-24 13:00:00+02:00,360.4375,6188.1875,168.0,328.125,295.3125,0.0,-142.0,42.1875,16.25,7.5625,6876.75,314.375,40.0,2628.25
2021-08-24 14:00:00+02:00,362.3333333333333,6049.416666666667,155.58333333333334,294.9166666666667,293.0833333333333,0.0,-203.83333333333334,42.416666666666664,11.666666666666666,5.583333333333333,6589.5,418.6666666666667,33.5,2655.5
2021-08-24 15:00:00+02:00,358.375,6218.6875,145.25,277.3125,295.6875,0.0,-106.25,41.875,7.75,3.75,5909.0,301.125,29.0,2555.75
2021-08-24 16:00:00+02:00,364.4166666666667,6430.416666666667,152.75,265.5833333333333,294.25,0.0,-30.083333333333332,42.416666666666664,10.333333333333334,5.0,4795.5,426.6666666666667,22.0,2452.75
2021-08-24 17:00:00+02:00,363.8333333333333,6697.166666666667,153.16666666666666,317.6666666666667,294.5833333333333,0.0,135.41666666666666,42.583333333333336,10.333333333333334,5.0,3261.0,424.25,16.0,2327.5
2021-08-24 18:00:00+02:00,365.1666666666667,6782.5,153.58333333333334,336.5,293.0,0.0,668.0833333333334,42.75,10.416666666666666,5.0,1551.25,421.3333333333333,19.0,2098.75
2021-08-24 19:00:00+02:00,365.1666666666667,6730.083333333333,153.75,326.5833333333333,291.0,0.0,936.8333333333334,42.666666666666664,10.75,5.0,401.25,426.3333333333333,24.75,1895.75
2021-08-24 20:00:00+02:00,365.8333333333333,6735.333333333333,154.33333333333334,324.3333333333333,291.0833333333333,0.0,1109.75,42.833333333333336,10.666666666666666,5.0,23.0,423.6666666666667,28.25,1907.25
2021-08-24 21:00:00+02:00,366.9166666666667,6745.583333333333,155.16666666666666,325.8333333333333,291.0,0.0,1017.0833333333334,43.0,10.666666666666666,5.0,0.0,427.5833333333333,38.0,2023.0
2021-08-24 22:00:00+02:00,365.0833333333333,6742.083333333333,155.41666666666666,317.6666666666667,291.1666666666667,0.0,593.3333333333334,43.0,10.916666666666666,5.0,0.0,424.4166666666667,52.0,2009.0
2021-08-24 23:00:00+02:00,365.3333333333333,6632.416666666667,158.16666666666666,308.25,291.6666666666667,0.0,133.25,42.916666666666664,11.75,5.416666666666667,0.0,432.3333333333333,73.5,1738.5
