,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-03 00:00:00+02:00,349.75,6192.25,126.0,646.5,296.5,0.0,41.75,41.0,0.0,0.0,0.0,444.25,85.0,2184.25
2021-08-03 01:00:00+02:00,350.75,6271.75,126.0,627.5,296.0,0.0,39.0,41.0,0.0,0.0,0.0,443.25,93.25,1798.0
2021-08-03 02:00:00+02:00,351.0,6273.75,126.0,426.75,296.5,0.0,32.25,41.0,0.0,0.0,0.0,432.5,100.5,1434.75
2021-08-03 03:00:00+02:00,350.5,6282.0,126.25,374.5,296.0,0.0,-250.0,41.0,0.0,0.0,0.0,442.0,157.0,1183.0
2021-08-03 04:00:00+02:00,348.25,6285.0,126.0,388.25,296.75,0.0,-281.25,41.0,0.0,0.0,0.0,443.25,139.75,1078.0
2021-08-03 05:00:00+02:00,352.0,6183.75,125.75,572.75,296.0,0.0,39.75,41.0,0.0,0.0,23.0,443.5,183.75,981.25
2021-08-03 06:00:00+02:00,350.25,6285.5,125.5,672.75,296.0,0.0,40.0,41.0,0.0,0.0,384.5,444.5,204.0,830.25
2021-08-03 07:00:00+02:00,352.0,6240.75,126.0,675.25,296.5,0.0,785.5,41.0,0.0,0.0,1464.5,445.75,178.75,393.25
2021-08-03 08:00:00+02:00,350.75,6429.5,126.0,681.5,296.0,0.0,751.25,41.0,0.0,0.0,3109.5,445.0,95.25,277.5
2021-08-03 09:00:00+02:00,350.75,6463.75,145.25,670.25,296.0,0.0,400.75,41.0,0.0,0.0,4879.0,442.5,186.25,280.0
2021-08-03 10:00:00+02:00,349.0,6513.75,157.0,661.5,296.0,0.0,39.0,41.0,0.0,0.0,6085.75,438.0,154.0,312.25
2021-08-03 11:00:00+02:00,351.25,6523.0,156.75,676.25,296.0,0.0,37.5,41.0,0.0,0.0,6336.0,435.5,111.0,260.25
2021-08-03 12:00:00+02:00,355.5,6333.25,129.0,679.75,296.0,0.0,40.75,41.75,0.0,0.0,6157.25,430.75,72.5,230.75
2021-08-03 13:00:00+02:00,363.0,6345.5,124.0,670.5,296.0,0.0,40.0,42.75,0.0,0.0,5935.25,419.0,71.5,232.75
2021-08-03 14:00:00+02:00,361.25,6240.0,124.75,643.75,296.0,0.0,40.0,42.25,0.0,0.0,5832.25,427.25,79.75,232.0
2021-08-03 15:00:00+02:00,363.0,6353.75,124.5,498.25,296.75,0.0,96.75,42.25,0.0,0.0,5297.5,213.75,113.5,310.0
2021-08-03 16:00:00+02:00,360.5,6491.25,124.25,578.5,296.5,0.0,192.0,42.0,0.0,0.0,4082.5,428.25,103.75,382.0
2021-08-03 17:00:00+02:00,357.75,6467.75,124.0,663.75,297.5,0.0,173.25,42.0,0.0,0.0,2757.75,431.25,79.0,381.25
2021-08-03 18:00:00+02:00,360.0,6455.25,124.0,680.75,297.25,0.0,760.5,42.0,0.0,0.0,1717.0,429.0,44.0,510.25
2021-08-03 19:00:00+02:00,359.25,6393.0,123.25,680.0,294.0,0.0,825.0,42.0,0.0,0.0,676.25,437.25,24.5,422.25
2021-08-03 20:00:00+02:00,358.5,6450.25,124.25,675.5,294.0,0.0,853.25,42.0,0.0,0.0,119.25,439.25,3.0,477.25
2021-08-03 21:00:00+02:00,357.75,6376.0,124.75,680.75,294.0,0.0,855.25,42.0,0.0,0.0,0.0,432.5,1.5,533.25
2021-08-03 22:00:00+02:00,358.25,6358.0,124.5,662.25,294.0,0.0,698.75,42.0,0.0,0.0,0.0,420.5,3.5,556.0
2021-08-03 23:00:00+02:00,358.25,6378.0,125.0,663.5,294.0,0.0,149.5,42.0,0.0,0.0,0.0,432.75,9.0,608.75
2021-08-04 00:00:00+02:00,358.0,6425.25,125.0,660.25,294.5,0.0,-366.25,42.0,0.0,0.0,0.0,434.0,14.0,561.75
