,Solar,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,0.0,877.0,3052.0
2021-08-24 00:15:00+02:00,0.0,854.0,2981.0
2021-08-24 00:30:00+02:00,0.0,829.0,2907.0
2021-08-24 00:45:00+02:00,0.0,803.0,2837.0
2021-08-24 01:00:00+02:00,0.0,786.0,2773.0
2021-08-24 01:15:00+02:00,0.0,756.0,2719.0
2021-08-24 01:30:00+02:00,0.0,724.0,2656.0
2021-08-24 01:45:00+02:00,0.0,698.0,2607.0
2021-08-24 02:00:00+02:00,0.0,670.0,2573.0
2021-08-24 02:15:00+02:00,0.0,641.0,2522.0
2021-08-24 02:30:00+02:00,0.0,613.0,2468.0
2021-08-24 02:45:00+02:00,0.0,588.0,2421.0
2021-08-24 03:00:00+02:00,0.0,557.0,2380.0
2021-08-24 03:15:00+02:00,0.0,533.0,2348.0
2021-08-24 03:30:00+02:00,0.0,512.0,2312.0
2021-08-24 03:45:00+02:00,0.0,488.0,2281.0
2021-08-24 04:00:00+02:00,0.0,461.0,2253.0
2021-08-24 04:15:00+02:00,0.0,440.0,2232.0
2021-08-24 04:30:00+02:00,0.0,415.0,2208.0
2021-08-24 04:45:00+02:00,0.0,393.0,2180.0
2021-08-24 05:00:00+02:00,0.0,371.0,2158.0
2021-08-24 05:15:00+02:00,0.0,350.0,2135.0
2021-08-24 05:30:00+02:00,0.0,325.0,2107.0
2021-08-24 05:45:00+02:00,0.0,304.0,2087.0
2021-08-24 06:00:00+02:00,2.0,284.0,2066.0
2021-08-24 06:15:00+02:00,14.0,264.0,2016.0
2021-08-24 06:30:00+02:00,150.0,245.0,1998.0
2021-08-24 06:45:00+02:00,260.0,224.0,1947.0
2021-08-24 07:00:00+02:00,446.0,212.0,1888.0
2021-08-24 07:15:00+02:00,719.0,203.0,1815.0
2021-08-24 07:30:00+02:00,1059.0,197.0,1717.0
2021-08-24 07:45:00+02:00,1442.0,195.0,1614.0
2021-08-24 08:00:00+02:00,1850.0,189.0,1516.0
2021-08-24 08:15:00+02:00,2286.0,185.0,1410.0
2021-08-24 08:30:00+02:00,2739.0,184.0,1309.0
2021-08-24 08:45:00+02:00,3208.0,181.0,1233.0
2021-08-24 09:00:00+02:00,3665.0,180.0,1200.0
2021-08-24 09:15:00+02:00,4062.0,172.0,1191.0
2021-08-24 09:30:00+02:00,4427.0,170.0,1211.0
2021-08-24 09:45:00+02:00,4819.0,163.0,1239.0
2021-08-24 10:00:00+02:00,5167.0,158.0,1265.0
2021-08-24 10:15:00+02:00,5481.0,154.0,1294.0
2021-08-24 10:30:00+02:00,5766.0,146.0,1326.0
2021-08-24 10:45:00+02:00,6026.0,139.0,1356.0
2021-08-24 11:00:00+02:00,6263.0,134.0,1387.0
2021-08-24 11:15:00+02:00,6475.0,128.0,1402.0
2021-08-24 11:30:00+02:00,6655.0,120.0,1422.0
2021-08-24 11:45:00+02:00,6801.0,115.0,1420.0
2021-08-24 12:00:00+02:00,6920.0,111.0,1452.0
2021-08-24 12:15:00+02:00,7006.0,108.0,1501.0
2021-08-24 12:30:00+02:00,7058.0,103.0,1543.0
2021-08-24 12:45:00+02:00,7079.0,96.0,1591.0
2021-08-24 13:00:00+02:00,7077.0,97.0,1637.0
2021-08-24 13:15:00+02:00,7093.0,95.0,1667.0
2021-08-24 13:30:00+02:00,7072.0,95.0,1706.0
2021-08-24 13:45:00+02:00,6984.0,97.0,1764.0
2021-08-24 14:00:00+02:00,6881.0,95.0,1810.0
2021-08-24 14:15:00+02:00,6763.0,101.0,1845.0
2021-08-24 14:30:00+02:00,6632.0,105.0,1873.0
2021-08-24 14:45:00+02:00,6475.0,105.0,1895.0
2021-08-24 15:00:00+02:00,6291.0,109.0,1923.0
2021-08-24 15:15:00+02:00,6078.0,117.0,1957.0
2021-08-24 15:30:00+02:00,5844.0,127.0,1995.0
2021-08-24 15:45:00+02:00,5596.0,134.0,2033.0
2021-08-24 16:00:00+02:00,5330.0,140.0,2066.0
