,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,2161.1875,0.0,507.375,1326.5,0.0,19.0,-51.0,1302.125,38.0,3990.0,20.0,10.0,0.0,352.0,258.75,1427.25
2021-08-25 01:00:00+02:00,2156.4375,0.0,494.4375,1255.3125,0.0,19.0,-229.6875,1307.8125,30.5625,3993.0625,20.0,10.0,0.0,361.0,335.25,1261.5
2021-08-25 02:00:00+02:00,2147.5,0.0,495.25,1157.0625,0.0,19.0,-331.3125,1307.375,23.625,3994.4375,20.0,10.0,0.0,361.25,450.0,1175.5
2021-08-25 03:00:00+02:00,2136.0625,0.0,495.5625,1063.4375,0.0,19.0,-422.6875,1309.0,19.875,3991.625,20.0,10.0,0.0,361.25,661.75,1196.75
2021-08-25 04:00:00+02:00,2124.375,0.0,505.875,1129.8125,0.0,19.0,-378.75,1305.8125,21.5,3961.0,20.0,10.0,0.0,361.5,979.5,1351.0
2021-08-25 05:00:00+02:00,2115.5,0.0,598.0,1290.6875,0.0,19.0,-238.8125,1304.8125,35.875,3945.8125,20.0,10.0,0.0,340.75,1371.0,1609.75
2021-08-25 06:00:00+02:00,2118.25,0.0,877.9375,1508.5625,0.0,19.0,-19.3125,1301.8125,38.4375,3946.5625,20.0,10.0,129.25,340.75,1765.5,1949.5
2021-08-25 07:00:00+02:00,2124.5,0.0,1050.875,1542.0,0.0,19.0,198.5625,1300.625,46.1875,3937.3125,20.0,10.0,1237.0,328.25,2128.25,2293.5
2021-08-25 08:00:00+02:00,2142.3125,0.0,1072.25,1454.875,0.0,19.0,323.5,1298.8125,53.0625,3917.5625,20.0,10.0,3654.0,328.0,2446.0,2619.5
2021-08-25 09:00:00+02:00,2157.5625,0.0,1063.8125,1393.5625,0.0,19.0,252.6875,1296.875,48.375,3876.0,20.0,10.0,6404.0,329.75,2742.5,3174.75
2021-08-25 10:00:00+02:00,2159.8125,0.0,942.375,1216.8125,0.0,19.0,99.8125,1298.125,44.3125,3820.875,20.0,10.0,8551.25,329.75,3115.0,4009.75
2021-08-25 11:00:00+02:00,2167.1875,0.0,852.125,1107.75,0.0,19.0,19.0625,1304.1875,38.8125,3751.0625,20.0,10.0,9837.5,329.25,3418.75,4920.0
2021-08-25 12:00:00+02:00,2168.6875,0.0,843.3125,1063.9375,0.0,19.0,-85.375,1310.875,41.5625,3733.125,20.0,10.0,10418.75,339.25,3742.0,5801.5
2021-08-25 13:00:00+02:00,2170.5625,0.0,825.875,1002.3125,0.0,19.0,-203.375,1309.6875,47.0,3747.75,20.0,10.0,10427.75,338.75,4027.0,6636.25
2021-08-25 14:00:00+02:00,2168.0625,0.0,822.75,967.6875,0.0,19.0,-277.8125,1312.75,49.5625,3750.125,20.0,10.0,9909.75,337.75,4310.25,7357.25
2021-08-25 15:00:00+02:00,2159.9375,0.0,796.875,996.8125,0.0,19.0,-261.875,1313.8125,49.625,3791.75,20.0,10.0,8772.25,336.5,4515.5,7933.5
2021-08-25 16:00:00+02:00,2153.0625,0.0,852.0625,1060.3125,0.0,19.0,-129.3125,1306.625,56.25,3849.625,20.0,10.0,6930.75,355.5,4627.25,8344.75
2021-08-25 17:00:00+02:00,2145.0833333333335,0.0,1267.0833333333333,1334.75,0.0,19.0,-28.75,1315.6666666666667,64.91666666666667,3937.8333333333335,20.0,10.0,4466.75,350.6666666666667,4681.25,8512.5
2021-08-25 18:00:00+02:00,2145.5,0.0,1511.8333333333333,1398.5,0.0,19.0,143.83333333333334,1316.1666666666667,67.25,3938.0,20.0,10.0,2035.5,351.3333333333333,4724.75,8416.0
2021-08-25 19:00:00+02:00,2150.9166666666665,0.0,1594.8333333333333,1403.8333333333333,0.0,19.0,236.75,1314.5,75.08333333333333,3965.4166666666665,20.0,10.0,551.75,353.6666666666667,4853.75,8126.25
2021-08-25 20:00:00+02:00,2156.5833333333335,0.0,1542.0,1398.8333333333333,0.0,19.0,221.08333333333334,1311.75,81.83333333333333,3987.6666666666665,20.0,10.0,55.75,356.6666666666667,5151.0,7789.5
2021-08-25 21:00:00+02:00,2157.25,0.0,1524.5,1393.3333333333333,0.0,19.0,334.1666666666667,1310.4166666666667,77.41666666666667,3997.5833333333335,20.0,10.0,0.0,358.0,5163.5,7432.25
2021-08-25 22:00:00+02:00,2154.0,0.0,1399.75,1344.8333333333333,0.0,19.0,251.5,1307.8333333333333,48.666666666666664,3997.9166666666665,20.0,10.0,0.0,358.0,5200.25,6863.75
2021-08-25 23:00:00+02:00,2155.1666666666665,0.0,958.9166666666666,1176.25,0.0,19.0,5.916666666666667,1303.4166666666667,35.5,3998.75,20.0,10.0,0.0,358.6666666666667,5121.25,6437.5
