,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-17 00:00:00+02:00,2192.25,0.0,508.0,252.25,0.0,19.0,-127.0,1106.0,9.25,3992.5,20.0,10.0,0.0,330.0,4624.0,12135.0
2021-08-17 01:00:00+02:00,2182.25,0.0,508.0,258.25,0.0,19.0,-390.75,1093.75,12.0,3929.75,20.0,10.0,0.0,330.0,4892.0,11486.25
2021-08-17 02:00:00+02:00,2170.0,0.0,507.75,257.5,0.0,19.0,-422.25,1084.25,9.25,3976.5,20.0,10.0,0.0,330.0,5192.5,11083.0
2021-08-17 03:00:00+02:00,2153.75,0.0,508.0,256.5,0.0,19.0,-438.0,1085.0,6.25,3888.5,20.0,10.0,0.0,330.0,5433.0,10724.25
2021-08-17 04:00:00+02:00,2137.75,0.0,457.0,256.75,0.0,19.0,-419.0,1088.0,7.5,3884.5,20.0,10.0,0.0,330.0,5434.0,10842.75
2021-08-17 05:00:00+02:00,2129.0,0.0,454.25,257.0,0.0,19.0,-200.0,1085.75,15.25,3969.75,20.0,10.0,0.0,330.0,5423.0,11150.25
2021-08-17 06:00:00+02:00,2126.75,0.0,446.75,293.75,0.0,19.0,392.0,1057.5,16.75,3806.0,20.0,10.0,141.75,330.0,4923.0,11470.25
2021-08-17 07:00:00+02:00,2135.25,0.0,503.25,351.5,0.0,19.0,472.75,1031.5,18.5,3722.5,20.0,10.0,1129.0,330.0,3826.5,11062.75
2021-08-17 08:00:00+02:00,2153.5,0.0,505.0,351.5,0.0,19.0,551.75,1046.5,15.75,3656.75,20.0,10.0,2955.5,330.0,3349.5,10709.5
2021-08-17 09:00:00+02:00,2168.75,0.0,575.0,360.0,0.0,19.0,469.0,1056.0,13.0,3604.75,20.0,10.0,4659.25,365.0,2886.75,10772.5
2021-08-17 10:00:00+02:00,2179.75,0.0,660.0,464.5,0.0,19.0,-177.75,1068.75,8.5,3597.0,20.0,10.0,6138.75,364.0,2867.5,11279.5
2021-08-17 11:00:00+02:00,2188.75,0.0,729.5,434.75,0.0,19.0,-210.25,1089.75,8.5,3599.25,20.0,10.0,7057.75,371.0,2845.5,11510.75
2021-08-17 12:00:00+02:00,2192.75,0.0,741.0,417.75,0.0,19.0,-369.5,1092.25,5.75,3730.25,20.0,10.0,7484.5,371.0,2820.0,11400.5
2021-08-17 13:00:00+02:00,2194.5,0.0,738.5,411.0,0.0,19.0,-366.75,1104.0,8.0,3724.0,20.0,10.0,7138.75,372.0,2713.0,11221.0
2021-08-17 14:00:00+02:00,2193.5,0.0,731.5,390.5,0.0,19.0,-211.25,1111.0,29.25,3709.75,20.0,10.0,6085.75,379.0,2454.25,11100.0
2021-08-17 15:00:00+02:00,2190.25,0.0,679.0,359.75,0.0,19.0,-183.5,1089.75,49.0,3667.5,20.0,10.0,5277.0,381.0,2598.0,10822.0
2021-08-17 16:00:00+02:00,2185.75,0.0,683.0,367.5,0.0,19.0,-138.25,1148.5,65.5,3630.25,20.0,10.0,4246.0,362.0,2420.75,10485.0
2021-08-17 17:00:00+02:00,2181.75,0.0,703.75,363.0,0.0,19.0,-71.75,1178.0,74.0,3826.0,20.0,10.0,2790.5,343.0,1973.5,10098.5
2021-08-17 18:00:00+02:00,2186.5,0.0,712.5,360.75,0.0,19.0,93.25,1193.0,75.75,3896.0,20.0,10.0,1490.0,371.0,1770.0,9019.5
2021-08-17 19:00:00+02:00,2189.25,0.0,714.25,359.0,0.0,19.0,317.75,1199.25,83.25,3903.75,20.0,10.0,473.75,347.0,1614.0,7564.75
2021-08-17 20:00:00+02:00,2190.75,0.0,715.75,365.25,0.0,19.0,333.0,1215.0,91.75,3967.0,20.0,10.0,40.0,348.0,1966.5,6442.0
2021-08-17 21:00:00+02:00,2192.0,0.0,686.25,366.75,0.0,19.0,80.5,1221.0,52.25,3965.25,20.0,10.0,0.0,348.0,2305.25,6024.0
2021-08-17 22:00:00+02:00,2192.5,0.0,586.25,361.25,0.0,19.0,113.5,1236.75,45.0,3981.5,20.0,10.0,0.0,349.0,2386.5,6093.75
2021-08-17 23:00:00+02:00,2190.0,0.0,534.0,344.75,0.0,19.0,-177.5,1250.5,21.75,3987.25,20.0,10.0,0.0,350.0,2513.25,6000.75
2021-08-18 00:00:00+02:00,2194.5,0.0,476.5,265.0,0.0,19.0,-97.75,1272.5,14.75,3931.75,20.0,10.0,0.0,349.0,2700.0,5893.0
