,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-08-24 00:00:00+02:00,603.0,198.64285714285714,431.5,0.0,-286.42857142857144,559.4285714285714,119.53571428571429,1293.5714285714287,114.0,12.0,0.0,50.0,350.5
2021-08-24 01:00:00+02:00,603.0,197.6875,502.3125,0.0,-558.8125,560.375,123.25,1293.125,114.0,12.0,0.0,50.0,342.25
2021-08-24 02:00:00+02:00,603.0,197.6875,496.625,0.0,-579.75,546.0625,129.8125,1225.0,114.0,12.0,0.0,50.0,349.25
2021-08-24 03:00:00+02:00,603.0,197.5625,496.6875,0.0,-644.25,544.625,121.125,1212.5625,114.0,12.0,0.0,50.0,367.25
2021-08-24 04:00:00+02:00,603.0,197.5625,492.4375,0.0,-634.5,550.625,143.25,1229.4375,114.0,12.0,0.0,50.0,402.5
2021-08-24 05:00:00+02:00,603.0,197.8125,566.0625,0.0,-365.875,559.3125,158.1875,1286.5625,114.0,12.0,0.0,50.0,429.75
2021-08-24 06:00:00+02:00,603.0,199.25,654.9375,0.0,133.4375,558.75,140.1875,1296.6875,114.0,12.0,48.1875,50.0,437.0
2021-08-24 07:00:00+02:00,603.0,199.6875,761.5625,0.0,642.75,556.5625,192.0,1297.6875,114.0,12.0,406.625,50.0,402.75
2021-08-24 08:00:00+02:00,603.0,198.8125,835.375,0.0,849.6875,559.8125,258.0625,1297.1875,114.0,12.0,1056.6875,50.0,301.25
2021-08-24 09:00:00+02:00,603.0,197.3125,874.6875,0.75,779.25,561.4375,230.0,1071.5,114.0,12.0,1748.875,50.0,264.5
2021-08-24 10:00:00+02:00,603.0,197.4375,909.8125,0.0,460.1875,562.0,200.25,971.0625,114.0,12.0,2228.8125,50.0,277.25
2021-08-24 11:00:00+02:00,603.0,198.25,879.0625,0.0,74.25,564.5,181.3125,970.3125,114.0,12.0,2496.375,50.0,301.0
2021-08-24 12:00:00+02:00,603.0,199.75,793.9375,0.0,-295.6875,566.0,154.1875,969.9375,114.0,12.0,2685.875,50.0,322.0
2021-08-24 13:00:00+02:00,603.0,199.875,762.625,0.0,-346.125,560.5,153.125,969.8125,114.0,12.0,2845.4375,50.0,333.25
2021-08-24 14:00:00+02:00,603.0,199.75,772.0625,0.0,-398.5625,561.0,178.6875,969.875,114.0,12.0,2810.4375,50.0,366.0
2021-08-24 15:00:00+02:00,603.0,199.875,787.1875,0.0,-361.5,560.9375,165.6875,970.5,114.0,12.0,2378.4375,50.0,416.25
2021-08-24 16:00:00+02:00,603.0,202.0,812.9166666666667,0.0,78.77083333333334,560.3541666666666,243.39583333333334,986.7708333333333,114.0,12.0,1905.5833333333333,50.0,487.0
2021-08-24 17:00:00+02:00,603.0,201.16666666666666,580.6666666666666,0.0,172.41666666666666,564.75,209.0,998.4166666666666,114.0,12.0,1316.0833333333333,50.0,558.25
2021-08-24 18:00:00+02:00,603.0,201.58333333333334,589.3333333333334,0.0,317.6666666666667,561.9166666666666,236.75,1171.3333333333333,114.0,12.0,708.25,50.0,585.25
2021-08-24 19:00:00+02:00,603.0,202.16666666666666,573.8333333333334,0.0,760.9166666666666,559.5833333333334,220.16666666666666,1268.0833333333333,114.0,12.0,254.5,50.0,577.5
2021-08-24 20:00:00+02:00,603.0,202.91666666666666,522.5833333333334,0.0,1046.75,558.8333333333334,224.91666666666666,1287.75,114.0,12.0,29.75,50.0,616.25
2021-08-24 21:00:00+02:00,603.0,245.5,420.0,0.0,901.1666666666666,557.75,200.83333333333334,1288.4166666666667,114.0,12.0,0.0,50.0,643.25
2021-08-24 22:00:00+02:00,603.0,205.08333333333334,385.9166666666667,0.0,583.8333333333334,555.5,178.75,1291.5833333333333,114.0,12.0,0.0,50.0,652.25
2021-08-24 23:00:00+02:00,603.0,203.83333333333334,328.3333333333333,0.0,288.25,555.9166666666666,148.41666666666666,1291.75,114.0,12.0,0.0,50.0,649.5
