,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-08-03 00:00:00+02:00,603.0,203.0,403.25,0.0,-72.25,532.5,174.0,1293.25,114.0,12.0,0.0,50.0,108.5
2021-08-03 01:00:00+02:00,603.0,203.0,395.5,0.0,-147.5,533.0,210.25,1293.0,114.0,12.0,0.0,50.0,154.0
2021-08-03 02:00:00+02:00,603.0,203.0,381.75,0.0,-325.0,534.25,186.5,1294.75,114.0,12.0,0.0,50.0,171.5
2021-08-03 03:00:00+02:00,603.0,203.0,390.75,0.0,-470.25,534.25,172.75,1294.0,114.0,12.0,0.0,50.0,188.75
2021-08-03 04:00:00+02:00,603.0,203.0,390.25,0.0,-339.5,535.25,179.25,1295.25,114.0,12.0,0.0,50.0,169.0
2021-08-03 05:00:00+02:00,603.0,203.0,388.0,0.0,-351.5,537.0,176.0,1294.25,114.0,12.0,0.0,50.0,134.25
2021-08-03 06:00:00+02:00,603.0,202.75,427.0,0.0,397.5,539.0,214.5,1299.25,114.0,12.0,109.5,50.0,113.0
2021-08-03 07:00:00+02:00,603.0,202.0,466.25,0.0,673.75,532.5,206.0,1300.5,114.0,12.0,483.0,50.0,109.75
2021-08-03 08:00:00+02:00,603.0,199.75,629.0,0.0,528.75,534.25,249.0,1299.5,114.0,12.0,1019.0,50.0,108.75
2021-08-03 09:00:00+02:00,603.0,192.25,760.75,3.0,490.75,540.0,293.25,1299.75,114.0,12.0,1346.75,50.0,68.5
2021-08-03 10:00:00+02:00,603.0,193.0,794.25,0.0,338.25,540.75,238.25,1296.25,114.0,12.0,1503.75,50.0,71.75
2021-08-03 11:00:00+02:00,603.0,196.0,795.25,0.0,400.25,541.75,326.25,1293.5,114.0,12.0,1658.25,50.0,108.0
2021-08-03 12:00:00+02:00,603.0,202.0,748.0,0.0,118.0,549.5,160.25,1291.0,114.0,12.0,2176.25,50.0,314.25
2021-08-03 13:00:00+02:00,603.0,202.5,713.5,0.0,-108.25,546.75,77.0,1290.25,114.0,12.0,2417.75,50.0,283.75
2021-08-03 14:00:00+02:00,603.0,202.0,720.0,0.0,-485.5,547.25,174.25,1291.5,114.0,12.0,2634.5,50.0,201.25
2021-08-03 15:00:00+02:00,603.0,202.0,716.75,0.0,-516.75,552.0,149.0,1294.0,114.0,12.0,2327.75,50.0,409.5
2021-08-03 16:00:00+02:00,603.0,202.5,731.75,0.0,538.75,549.0,341.0,1293.0,114.0,12.0,1646.5,50.0,412.25
2021-08-03 17:00:00+02:00,603.0,202.5,831.5,0.0,681.25,544.5,242.5,1292.25,114.0,12.0,1049.5,50.0,373.75
2021-08-03 18:00:00+02:00,603.0,203.0,751.5,0.0,653.5,543.75,274.0,1291.0,114.0,12.0,592.75,50.0,355.0
2021-08-03 19:00:00+02:00,603.0,203.0,626.5,0.0,704.5,541.5,312.0,1291.75,114.0,12.0,258.75,50.0,480.5
2021-08-03 20:00:00+02:00,603.0,203.25,533.25,0.0,853.5,538.75,273.0,1292.5,114.0,12.0,39.5,50.0,508.0
2021-08-03 21:00:00+02:00,603.0,333.5,371.25,0.0,1129.5,537.75,203.0,1286.75,114.0,12.0,0.0,50.0,442.5
2021-08-03 22:00:00+02:00,603.0,213.75,267.25,0.0,811.75,535.0,146.25,1291.0,114.0,12.0,0.0,50.0,414.25
2021-08-03 23:00:00+02:00,603.0,203.0,249.0,0.0,354.25,535.0,154.5,1290.75,114.0,12.0,0.0,50.0,398.0
2021-08-04 00:00:00+02:00,603.0,203.0,218.0,0.0,14.25,538.25,115.25,1291.0,114.0,12.0,0.0,50.0,401.25
