,Solar,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,0.0,990.0,10518.0
2021-08-24 00:15:00+02:00,0.0,965.0,10366.0
2021-08-24 00:30:00+02:00,0.0,938.0,10210.0
2021-08-24 00:45:00+02:00,0.0,910.0,10058.0
2021-08-24 01:00:00+02:00,0.0,892.0,9916.0
2021-08-24 01:15:00+02:00,0.0,860.0,9786.0
2021-08-24 01:30:00+02:00,0.0,827.0,9648.0
2021-08-24 01:45:00+02:00,0.0,801.0,9513.0
2021-08-24 02:00:00+02:00,0.0,772.0,9395.0
2021-08-24 02:15:00+02:00,0.0,745.0,9284.0
2021-08-24 02:30:00+02:00,0.0,719.0,9184.0
2021-08-24 02:45:00+02:00,0.0,697.0,9098.0
2021-08-24 03:00:00+02:00,0.0,669.0,9021.0
2021-08-24 03:15:00+02:00,0.0,650.0,8961.0
2021-08-24 03:30:00+02:00,0.0,634.0,8899.0
2021-08-24 03:45:00+02:00,0.0,616.0,8843.0
2021-08-24 04:00:00+02:00,0.0,594.0,8791.0
2021-08-24 04:15:00+02:00,0.0,578.0,8746.0
2021-08-24 04:30:00+02:00,0.0,559.0,8696.0
2021-08-24 04:45:00+02:00,0.0,540.0,8646.0
2021-08-24 05:00:00+02:00,0.0,522.0,8603.0
2021-08-24 05:15:00+02:00,0.0,500.0,8563.0
2021-08-24 05:30:00+02:00,0.0,473.0,8519.0
2021-08-24 05:45:00+02:00,0.0,451.0,8482.0
2021-08-24 06:00:00+02:00,10.0,427.0,8456.0
2021-08-24 06:15:00+02:00,136.0,405.0,8360.0
2021-08-24 06:30:00+02:00,393.0,385.0,8268.0
2021-08-24 06:45:00+02:00,721.0,363.0,8136.0
2021-08-24 07:00:00+02:00,1295.0,350.0,7967.0
2021-08-24 07:15:00+02:00,2132.0,342.0,7732.0
2021-08-24 07:30:00+02:00,3197.0,337.0,7383.0
2021-08-24 07:45:00+02:00,4428.0,336.0,7006.0
2021-08-24 08:00:00+02:00,5765.0,329.0,6465.0
2021-08-24 08:15:00+02:00,7227.0,321.0,6050.0
2021-08-24 08:30:00+02:00,8733.0,315.0,5749.0
2021-08-24 08:45:00+02:00,10294.0,306.0,5507.0
2021-08-24 09:00:00+02:00,11802.0,300.0,5418.0
2021-08-24 09:15:00+02:00,13200.0,286.0,5396.0
2021-08-24 09:30:00+02:00,14535.0,277.0,5491.0
2021-08-24 09:45:00+02:00,15871.0,265.0,5603.0
2021-08-24 10:00:00+02:00,17076.0,254.0,5690.0
2021-08-24 10:15:00+02:00,18165.0,245.0,5765.0
2021-08-24 10:30:00+02:00,19128.0,233.0,5843.0
2021-08-24 10:45:00+02:00,19987.0,221.0,5896.0
2021-08-24 11:00:00+02:00,20752.0,212.0,5947.0
2021-08-24 11:15:00+02:00,21385.0,199.0,5987.0
2021-08-24 11:30:00+02:00,21929.0,186.0,6035.0
2021-08-24 11:45:00+02:00,22402.0,176.0,6071.0
2021-08-24 12:00:00+02:00,22806.0,167.0,6132.0
2021-08-24 12:15:00+02:00,23077.0,160.0,6200.0
2021-08-24 12:30:00+02:00,23250.0,152.0,6272.0
2021-08-24 12:45:00+02:00,23353.0,142.0,6348.0
2021-08-24 13:00:00+02:00,23376.0,140.0,6427.0
2021-08-24 13:15:00+02:00,23344.0,136.0,6499.0
2021-08-24 13:30:00+02:00,23206.0,134.0,6597.0
2021-08-24 13:45:00+02:00,22970.0,134.0,6741.0
2021-08-24 14:00:00+02:00,22643.0,130.0,6850.0
2021-08-24 14:15:00+02:00,22259.0,135.0,6919.0
2021-08-24 14:30:00+02:00,21738.0,138.0,6955.0
2021-08-24 14:45:00+02:00,21175.0,137.0,6974.0
2021-08-24 15:00:00+02:00,20528.0,140.0,6997.0
2021-08-24 15:15:00+02:00,19784.0,147.0,7028.0
2021-08-24 15:30:00+02:00,18936.0,155.0,7059.0
2021-08-24 15:45:00+02:00,18073.0,161.0,7092.0
2021-08-24 16:00:00+02:00,17144.0,165.0,7120.0
2021-08-24 16:15:00+02:00,16138.0,177.0,7142.0
2021-08-24 16:30:00+02:00,15059.0,189.0,7165.0
2021-08-24 16:45:00+02:00,13946.0,197.0,7180.0
2021-08-24 17:00:00+02:00,12747.0,202.0,7203.0
2021-08-24 17:15:00+02:00,11476.0,207.0,7157.0
2021-08-24 17:30:00+02:00,10132.0,210.0,7111.0
2021-08-24 17:45:00+02:00,8800.0,213.0,7056.0
2021-08-24 18:00:00+02:00,7434.0,220.0,6981.0
2021-08-24 18:15:00+02:00,6115.0,227.0,6833.0
2021-08-24 18:30:00+02:00,4816.0,234.0,6700.0
2021-08-24 18:45:00+02:00,3648.0,238.0,6568.0
2021-08-24 19:00:00+02:00,2638.0,243.0,6467.0
2021-08-24 19:15:00+02:00,1777.0,243.0,6391.0
2021-08-24 19:30:00+02:00,1098.0,249.0,6351.0
2021-08-24 19:45:00+02:00,631.0,252.0,6339.0
2021-08-24 20:00:00+02:00,304.0,253.0,6397.0
2021-08-24 20:15:00+02:00,102.0,261.0,6509.0
2021-08-24 20:30:00+02:00,1.0,267.0,6637.0
2021-08-24 20:45:00+02:00,0.0,267.0,6800.0
2021-08-24 21:00:00+02:00,0.0,273.0,6914.0
2021-08-24 21:15:00+02:00,0.0,280.0,6992.0
2021-08-24 21:30:00+02:00,0.0,287.0,7026.0
2021-08-24 21:45:00+02:00,0.0,289.0,7050.0
2021-08-24 22:00:00+02:00,0.0,302.0,7046.0
2021-08-24 22:15:00+02:00,0.0,306.0,6928.0
2021-08-24 22:30:00+02:00,0.0,307.0,6808.0
2021-08-24 22:45:00+02:00,0.0,315.0,6679.0
2021-08-24 23:00:00+02:00,0.0,322.0,6533.0
2021-08-24 23:15:00+02:00,0.0,335.0,6298.0
2021-08-24 23:30:00+02:00,0.0,345.0,6058.0
2021-08-24 23:45:00+02:00,0.0,361.0,5815.0
