,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-18 00:00:00+01:00,4385.5,12932.0,5495.8125,8827.4375,307.5625,22.0,-3159.0625,1089.9375,77.0,7863.5625,338.375,157.6875,0.0,877.5,5976.0,16350.5
2021-11-18 01:00:00+01:00,4391.375,12911.5625,5310.5,9278.625,307.25,22.0,-3754.0625,1114.5625,70.5625,7897.0625,348.75,162.375,0.0,891.75,5696.0,16604.75
2021-11-18 02:00:00+01:00,4385.4375,12751.5,5264.875,9273.375,306.5,22.0,-3749.1875,1114.1875,90.5,7901.75,348.25,162.5,0.0,884.75,5644.0,16843.5
2021-11-18 03:00:00+01:00,4372.875,13033.0625,5227.25,9303.0625,307.8125,22.0,-3813.5,1105.0625,85.5625,7907.9375,349.75,163.75,0.0,882.9375,5600.5,16917.25
2021-11-18 04:00:00+01:00,4361.5,13226.0,5341.25,9586.75,311.125,22.0,-3873.375,1101.125,95.625,7908.5,351.0,165.25,0.0,859.75,5602.25,16861.75
2021-11-18 05:00:00+01:00,4358.5,13290.8125,5948.9375,10077.1875,314.25,22.0,-2998.75,1099.25,92.75,7909.0625,366.9375,167.6875,0.0,850.0625,5679.0,16935.5
2021-11-18 06:00:00+01:00,4359.625,13505.3125,7090.4375,10676.6875,334.0,22.0,-111.125,1098.1875,146.75,7915.5625,386.625,176.8125,0.0,849.25,5765.75,17358.25
2021-11-18 07:00:00+01:00,4371.3125,13683.0625,7638.1875,10829.25,332.75,22.0,2920.5625,1104.5,221.75,7917.1875,391.375,178.5625,64.25,853.875,5928.75,17402.0
2021-11-18 08:00:00+01:00,4373.6875,13671.0,7804.0625,10922.25,349.875,22.0,3389.4375,1103.5,226.125,7927.75,391.6875,177.5,1162.75,851.0,6124.5,17469.0
2021-11-18 09:00:00+01:00,4373.583333333333,13631.75,8570.666666666666,11263.833333333334,317.5833333333333,22.0,2716.6666666666665,1113.0,203.08333333333334,7965.0,376.6666666666667,171.91666666666666,3314.75,868.25,6181.25,17571.25
2021-11-18 10:00:00+01:00,4363.083333333333,13627.833333333334,8408.333333333334,11156.583333333334,286.5,22.0,1672.0833333333333,1109.0,155.16666666666666,7964.083333333333,388.75,171.33333333333334,5366.25,868.5,6184.75,17795.75
2021-11-18 11:00:00+01:00,4361.583333333333,13634.916666666666,8239.583333333334,11065.75,285.5833333333333,22.0,941.9166666666666,1108.6666666666667,108.08333333333333,7958.916666666667,383.4166666666667,168.66666666666666,6600.75,870.9166666666666,6267.5,18584.0
2021-11-18 12:00:00+01:00,4373.666666666667,13561.833333333334,7819.166666666667,10866.75,313.5833333333333,22.0,-100.33333333333333,1114.75,123.0,7948.083333333333,377.8333333333333,166.58333333333334,6590.5,880.25,6237.75,19930.25
2021-11-18 13:00:00+01:00,4373.25,13598.166666666666,7728.583333333333,10714.166666666666,334.0,22.0,-703.0,1114.25,102.33333333333333,7925.0,378.0,166.33333333333334,5626.25,880.25,6238.25,21057.25
2021-11-18 14:00:00+01:00,4376.583333333333,13563.0,7575.0,10648.25,335.75,22.0,-518.5833333333334,1115.0,134.58333333333334,7875.5,382.9166666666667,169.75,3963.0,893.0833333333334,5862.0,22007.5
2021-11-18 15:00:00+01:00,4393.583333333333,13633.666666666666,7625.166666666667,10691.0,335.75,22.0,-104.0,1111.25,122.75,7863.166666666667,399.4166666666667,177.83333333333334,1710.75,899.6666666666666,5674.75,23117.5
2021-11-18 16:00:00+01:00,4406.333333333333,13721.916666666666,7699.5,10642.416666666666,338.25,22.0,881.5833333333334,1110.5,117.75,7866.083333333333,398.5833333333333,177.66666666666666,174.5,920.5833333333334,5626.0,24509.75
2021-11-18 17:00:00+01:00,4413.166666666667,13572.833333333334,8283.5,10815.916666666666,365.0,22.0,2964.5833333333335,1107.5,134.08333333333334,7863.916666666667,399.8333333333333,177.91666666666666,0.0,912.75,5620.0,26035.75
2021-11-18 18:00:00+01:00,4424.75,13472.25,8177.583333333333,10700.166666666666,393.9166666666667,22.0,2982.5,1100.0,112.41666666666667,7896.0,399.8333333333333,177.33333333333334,0.0,911.4166666666666,5612.5,27156.75
2021-11-18 19:00:00+01:00,4422.083333333333,13252.25,7841.083333333333,10202.75,326.25,22.0,2089.1666666666665,1094.5,62.833333333333336,7893.916666666667,395.5,175.58333333333334,0.0,905.0833333333334,5606.5,27763.75
2021-11-18 20:00:00+01:00,4422.166666666667,13034.833333333334,7124.916666666667,9626.75,315.6666666666667,22.0,737.8333333333334,1089.75,47.833333333333336,7882.833333333333,375.5,166.5,0.0,903.8333333333334,5626.25,27925.75
2021-11-18 21:00:00+01:00,4411.166666666667,12743.75,6612.333333333333,8981.0,316.8333333333333,22.0,-561.25,1093.1666666666667,47.583333333333336,7874.083333333333,360.3333333333333,165.33333333333334,0.0,899.8333333333334,5631.0,27769.5
2021-11-18 22:00:00+01:00,4398.666666666667,12607.916666666666,6038.666666666667,9023.833333333334,317.0833333333333,22.0,-1276.75,1097.9166666666667,44.666666666666664,7865.75,348.9166666666667,159.83333333333334,0.0,900.8333333333334,5761.0,26780.25
2021-11-18 23:00:00+01:00,4380.583333333333,12287.0,5343.666666666667,8548.5,318.1666666666667,22.0,-2619.3333333333335,1103.75,69.58333333333333,7824.166666666667,343.1666666666667,157.5,0.0,898.9166666666666,5743.0,26295.25
