,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-17 00:00:00+02:00,4107.5,6523.5,2427.5,1392.75,293.0,20.0,-752.75,1882.5,102.25,7407.75,279.0,117.0,0.0,889.0,5567.5,27688.0
2021-08-17 01:00:00+02:00,4098.0,6100.5,2272.75,1372.5,293.0,20.0,-2656.75,1873.0,109.0,7337.25,276.5,117.0,0.0,885.75,5843.25,27811.25
2021-08-17 02:00:00+02:00,4085.25,6027.25,2251.25,1364.5,293.0,20.0,-2715.25,1807.75,69.0,7113.5,274.25,117.25,0.0,864.75,6154.0,27468.5
2021-08-17 03:00:00+02:00,4073.25,5951.0,2205.25,1337.75,293.0,20.0,-3070.25,1804.25,42.25,6978.5,275.25,118.0,0.0,869.0,6267.0,27431.75
2021-08-17 04:00:00+02:00,4056.5,6077.5,2143.0,1393.0,293.0,20.0,-2686.75,1832.5,110.25,7038.5,274.5,117.5,0.0,879.5,6164.0,27657.25
2021-08-17 05:00:00+02:00,4052.0,6319.25,2140.0,1443.5,293.0,20.0,-1269.75,1865.5,140.75,7352.25,274.0,117.0,1.25,875.5,6199.5,27724.25
2021-08-17 06:00:00+02:00,4053.75,7324.0,2256.25,1186.25,293.5,20.0,838.25,1835.5,115.5,7452.5,274.0,117.0,395.75,877.75,5630.25,27706.0
2021-08-17 07:00:00+02:00,4071.25,8628.5,2536.5,1290.5,295.0,20.0,2149.0,1810.0,128.75,7630.25,274.0,117.0,3107.75,879.75,4737.75,26573.0
2021-08-17 08:00:00+02:00,4095.25,8390.0,2898.25,1318.25,295.0,20.0,3012.5,1830.5,191.0,7566.5,274.0,117.0,7781.25,879.5,4255.0,25853.0
2021-08-17 09:00:00+02:00,4113.25,8461.25,2645.25,1316.25,294.25,20.0,1860.0,1840.75,191.0,6609.25,274.0,117.0,12380.5,917.5,3806.5,25899.5
2021-08-17 10:00:00+02:00,4123.0,8332.0,2796.0,1465.25,289.25,20.0,807.0,1854.75,200.0,6207.25,274.0,117.0,16008.5,906.75,3850.0,26876.75
2021-08-17 11:00:00+02:00,4131.0,7883.75,2880.25,1488.75,289.0,20.0,-810.75,1881.25,95.25,6207.25,279.0,117.0,18101.75,886.25,3832.5,27710.25
2021-08-17 12:00:00+02:00,4133.75,7420.5,2919.5,1514.25,289.0,20.0,-2098.5,1886.0,134.75,6335.0,279.0,117.0,19077.25,899.5,3806.25,27942.0
2021-08-17 13:00:00+02:00,4135.5,7104.0,2946.25,1528.75,289.25,20.0,-2239.0,1896.25,197.25,6260.5,279.0,117.0,18794.25,911.0,3696.5,27989.25
2021-08-17 14:00:00+02:00,4133.0,7186.25,2903.0,1496.0,289.5,20.0,-1590.25,1907.0,226.0,6157.5,279.0,117.0,16738.75,917.0,3433.5,27774.75
2021-08-17 15:00:00+02:00,4132.25,7809.5,2890.5,1494.25,290.0,20.0,-865.5,1882.75,225.5,6261.25,279.0,117.0,13799.25,925.75,3581.0,26938.5
2021-08-17 16:00:00+02:00,4128.25,9229.0,3191.5,1499.25,293.0,20.0,-354.25,1942.0,292.0,6293.5,279.0,117.0,10424.75,913.25,3407.5,25688.0
2021-08-17 17:00:00+02:00,4128.75,10718.0,2952.25,1883.5,293.0,20.0,-278.25,1971.5,274.5,6839.5,279.0,117.0,6754.5,893.25,2962.5,24130.0
2021-08-17 18:00:00+02:00,4133.75,10971.25,2489.5,1995.75,288.0,20.0,478.5,1980.75,349.5,7429.25,279.0,117.25,3410.25,926.5,2728.75,22150.0
2021-08-17 19:00:00+02:00,4136.25,10788.75,2673.75,1939.5,285.0,20.0,2052.0,1986.5,258.0,7729.0,280.0,118.0,1101.0,918.5,2568.5,19504.75
2021-08-17 20:00:00+02:00,4139.75,10748.75,2667.5,1880.75,285.25,20.0,2460.5,1997.75,322.5,7851.0,280.0,118.0,81.75,919.75,2854.0,17836.5
2021-08-17 21:00:00+02:00,4143.0,10834.0,2508.75,1768.5,285.0,20.0,1039.25,2001.5,244.25,7858.0,280.0,118.0,0.25,915.25,3218.5,17055.25
2021-08-17 22:00:00+02:00,4138.5,10787.0,2656.25,1698.0,285.5,20.0,313.25,2017.0,239.0,7884.0,280.5,118.0,0.0,915.75,3370.75,16717.5
2021-08-17 23:00:00+02:00,4133.75,10072.25,2279.75,1524.0,285.5,20.0,-357.75,2032.25,131.5,7890.25,283.25,119.25,0.0,923.0,3496.0,16512.25
